average_rtt,packet_loss,bits_per_second,bu_ratio,retransmits,cpu_host_total,cpu_host_system,bidirectional_duration_ms,src2dst_duration_ms,dst2src_duration_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,traffic_type,traffic_type_numeric
1762.804,16.6,400041.372898,95.99958627102,118,3.916019,3.25798,12597,12597,10060,599.8571428571429,863.2678776436827,3163,1145.1818181818182,928.4179897203434,3189,1117.7777777777776,1028.4285072110963,3188,high,2
1526.5839999999994,12.6,806450.605889,91.93549394111,77,3.800405000000002,3.270037,19154,19154,16804,912.095238095238,1293.529083738047,4703,1741.2727272727273,1960.06331994194,6846,1867.111111111111,1475.9164478760683,4703,high,2
1584.735,11.8,1020554.174751,89.79445825249,161,3.170089,2.7356990000000003,13997,13997,11434,666.5238095238096,917.3746028230572,3143,1272.4545454545453,948.4059640930528,3168,1270.4444444444443,1051.423215350402,3169,high,2
1559.652,10.6,551791.722321,94.48208277679,128,3.4542839999999995,2.894097,16833,16833,14457,841.65,1337.1232386220645,5186,1530.2727272727273,1513.3868699647876,5186,1807.125,2395.516433285912,7164,high,2
1581.0839999999994,10.4,796967.436669,92.03032563331,119,3.434693,2.9969,16904,16904,14575,845.1999999999997,1351.8798062425208,5101,1536.7272727272727,1535.2076140319973,5101,1821.875,2402.571446090923,7078,high,2
1769.695,19.8,781542.6758130002,92.18457324187,124,3.4472690000000004,2.915985,19503,19503,17179,886.5,1340.694942397945,4935,1625.25,1492.4020372905857,4935,1908.7777777777767,2230.0589553741493,6923,high,2
1669.079,10.8,372232.006935,96.27767993065,51,4.650059,4.121175,12523,12523,10538,626.15,921.9086765481368,3414,1252.3,993.9355053970496,3440,1170.888888888889,1131.3015120254684,3439,high,2
1559.896,11.2,635587.222799,93.64412777201,127,3.743781,3.374073,17042,17042,14646,852.0999999999997,1345.9139293666435,5145,1549.2727272727273,1519.201177652854,5145,1830.75,2404.608833647823,7162,high,2
1989.188,20.6,552164.1943270001,94.47835805673,81,4.502058,3.887797,20171,20171,18031,1008.55,2116.262581334815,9308,2017.1,2702.228152634209,9334,2003.4444444444448,2914.844468882993,9333,high,2
1594.213,12.0,703528.95019,92.9647104981,171,3.258652,2.713076,18809,18809,16489,895.6666666666665,1271.764889173047,4651,1709.909090909091,1955.0950081541027,6859,1832.111111111111,1453.9296272898189,4651,high,2
